mutation,rorgt
TRACERx WT,11.04
TRACERx WT,53.63
TRACERx WT,12.76
TRACERx WT,19.75
TRACERx WT,13.97
TRACERx WT,1.71
TRACERx WT,39.3
TRACERx MT,183.76
TRACERx MT,24.35
TRACERx MT,409.73
TRACERx MT,132.12
TRACERx MT,570.77
TRACERx MT,80.71
TRACERx MT,245.25
TRACERx MT,15.18
TRACERx MT,83.68
TRACERx MT,31.29
TRACERx MT,124.81
TRACERx MT,0.82
TRACERx MT,80.84
TRACERx MT,138.33
TRACERx MT,64.92
TRACERx MT,6.75
SMP2 WT,6.24
SMP2 WT,31.40
SMP2 WT,89.10
SMP2 MT,38.72
SMP2 MT,19.64
SMP2 MT,20.04
SMP2 MT,1383.22
SMP2 MT,92.04
